date,symbol,side,price,quantity
2022-09-23,NVR,BUY,4057.67,4.10744754173372
2022-09-23,BKNG,BUY,1651.86183124737,10.089625143817972
2022-09-23,MTD,BUY,1132.01,14.723073706651588
2022-09-23,AZO,BUY,2096.84,7.94846848909152
2022-09-23,ZBRA,BUY,268.04,62.17977416306022
2022-09-23,BLK,BUY,554.59978429874,30.051700592961318
2022-09-30,AZO,SELL,2141.93,7.948468489091519
2022-09-30,BKNG,SELL,1625.4796031595,0.08604806828417526
2022-09-30,BLK,SELL,516.04722654071,30.051700592961318
2022-09-30,MTD,SELL,1084.12,14.723073706651588
2022-09-30,NVR,SELL,3987.08,0.029121926267226247
2022-09-30,ZBRA,SELL,262.01,0.1187440691166848
2022-09-30,CHTR,BUY,303.35,53.60346297977302
2022-09-30,CCL,BUY,7.03,2313.031364852652
2022-09-30,CZR,BUY,32.26,504.04868242139315
2022-10-07,CZR,SELL,37.28,504.04868242139315
2022-10-07,NVR,SELL,4255.08,0.09252170792320485
2022-10-07,ZBRA,SELL,266.68,62.06103009394354
2022-10-07,BKNG,BUY,1666.9769585508,0.17047746308054237
2022-10-07,AZO,BUY,2174.0,7.80124861587364
2022-10-07,CHTR,BUY,312.53,0.6630538055253377
2022-10-07,CCL,BUY,6.76,195.83172551854514
2022-10-07,BLK,BUY,516.159761372405,32.85787804499711
2022-10-14,AZO,SELL,2255.17,7.80124861587364
2022-10-14,BKNG,SELL,1652.46524928762,1.3091487185522008
2022-10-14,BLK,SELL,516.675546017671,4.505561163022506
2022-10-14,CCL,SELL,7.13,454.31206570636425
2022-10-14,CHTR,SELL,323.31,54.26651678529836
2022-10-14,NVR,SELL,3945.82,0.27328057757378715
2022-10-14,MTD,BUY,1117.03,13.114194610583654
2022-10-14,NOW,BUY,341.76,42.86326312576153
2022-10-14,KLAC,BUY,256.225184902506,57.172166004814095
2022-10-21,CCL,SELL,8.2,2054.551024664833
2022-10-21,KLAC,SELL,282.391829686065,57.172166004814095
2022-10-21,NOW,SELL,360.67,42.86326312576153
2022-10-21,NVR,BUY,4046.65,0.8484865563017141
2022-10-21,BKNG,BUY,1803.12191737094,1.3711245217965793
2022-10-21,MTD,BUY,1174.38,2.6020221644631034
2022-10-21,CHTR,BUY,330.4,55.86201772481663
2022-10-21,BLK,BUY,560.104613149132,4.600117757882848
2022-10-21,TDG,BUY,491.707384164567,37.53616734399539
2022-10-28,BLK,SELL,622.458287810563,32.95243463985745
2022-10-28,CHTR,SELL,368.24,55.86201772481663
2022-10-28,TDG,SELL,531.62867044862,37.53616734399539
2022-10-28,BKNG,BUY,1851.52395787861,5.880910009464871
2022-10-28,NVR,BUY,4275.36,2.4187301094662494
2022-10-28,GNRC,BUY,116.7,255.70609415746466
2022-10-28,MTD,BUY,1264.55,7.881822992598747
2022-11-04,BKNG,SELL,1854.17504041612,7.2462438342890945
2022-11-04,GNRC,SELL,101.25,255.70609415746466
2022-11-04,MTD,SELL,1284.51,23.598039767645503
2022-11-04,NVR,SELL,4161.9,3.027741131518822
2022-11-04,NOW,BUY,361.75,45.4673782252704
2022-11-04,META,BUY,90.3678590548945,182.00966853713152
2022-11-04,BLK,BUY,615.33108180324,26.730039420064546
2022-11-04,TSLA,BUY,207.47,79.27808393016613
2022-11-04,EPAM,BUY,312.52,52.62966873477399
2022-11-11,BKNG,SELL,1994.01964426995,0.817438950472153
2022-11-11,BLK,SELL,726.553007128035,26.730039420064543
2022-11-11,EPAM,SELL,360.23,52.62966873477399
2022-11-11,META,SELL,112.494497525985,39.26176405067766
2022-11-11,NOW,SELL,409.91,6.292062209337823
2022-11-11,NVR,SELL,4491.44,0.3766747391961717
2022-11-11,GNRC,BUY,114.08,140.7639707932234
2022-11-11,TSLA,BUY,195.97,2.664834823168178
2022-11-11,WST,BUY,249.346689391363,64.40171244016992
2022-11-11,CHTR,BUY,394.4,40.7159071706159
2022-11-18,NOW,SELL,399.38,39.17531601593258
2022-11-18,TSLA,SELL,180.19,81.94291875333431
2022-11-18,NVR,BUY,4392.59,0.37991269057483634
2022-11-18,BKNG,BUY,1919.34418876365,0.998653906916476
2022-11-18,GNRC,BUY,102.87,28.126217637072855
2022-11-18,META,BUY,111.529007678169,13.029807926792701
2022-11-18,WST,BUY,223.580301729792,13.30519442688317
2022-11-18,EPAM,BUY,341.46,50.8807288813465
2022-11-18,CHTR,BUY,374.38,5.690775034161534
2022-11-25,CHTR,SELL,390.11,46.40668220477743
2022-11-25,GNRC,SELL,105.25,168.89018843029623
2022-11-25,NVR,BUY,4498.76,1.5567071694896146
2022-11-25,BKNG,BUY,1963.21564791989,3.5788523188855224
2022-11-25,META,BUY,110.891983448682,67.83550426102302
2022-11-25,WST,BUY,225.219890609144,32.39399521260932
2022-11-25,EPAM,BUY,349.15,20.14007341666193
2022-12-02,BKNG,SELL,2062.93789814628,12.630763792364338
2022-12-02,EPAM,SELL,369.84,71.02080229800843
2022-12-02,META,SELL,122.91581578025,223.61321667426955
2022-12-02,NVR,SELL,4687.6,1.4776039298436185
2022-12-02,WST,SELL,242.808207678554,110.1009020796624
2022-12-02,GNRC,BUY,100.7,187.79913051597327
2022-12-02,CRWD,BUY,124.0,152.51106808837508
2022-12-02,TSLA,BUY,194.86,97.05107483813255
2022-12-02,NOW,BUY,412.87,45.80466597950568
2022-12-02,TTWO,BUY,108.76,173.88168851561704
2022-12-02,WBD,BUY,11.55,1637.348263459611
2022-12-09,NOW,SELL,393.58,45.80466597950568
2022-12-09,NVR,SELL,4648.53,4.0343400552433035
2022-12-09,TTWO,SELL,102.06,173.88168851561704
2022-12-09,WBD,SELL,11.09,1637.3482634596112
2022-12-09,GNRC,BUY,92.67,261.88765296367865
2022-12-09,TSLA,BUY,179.05,135.69103197593802
2022-12-09,CRWD,BUY,115.08,209.60636521940506
2022-12-16,CRWD,SELL,111.5,185.85841211144415
2022-12-16,GNRC,SELL,94.68,242.11516472815782
2022-12-16,TSLA,SELL,150.23,101.92348960451542
2022-12-16,CHTR,BUY,304.96,64.44412665068032
2022-12-16,WST,BUY,224.673360982693,87.4731244391068
2022-12-16,BKNG,BUY,1917.63285563309,10.248510712392449
2022-12-23,BKNG,SELL,1950.24710610392,10.248510712392449
2022-12-23,CHTR,SELL,333.92,64.44412665068032
2022-12-23,WST,SELL,233.646383758782,87.4731244391068
2022-12-23,TSLA,BUY,123.15,102.97571520023794
2022-12-23,GNRC,BUY,92.19,104.73743902338407
2022-12-23,CRWD,BUY,101.99,106.04093013483389
2022-12-23,MPWR,BUY,343.906327225241,83.71980902057928
2022-12-30,GNRC,SELL,100.66,16.613326577308815
2022-12-30,MPWR,SELL,347.585022616569,83.71980902057928
2022-12-30,TSLA,BUY,123.18,7.841747329996895
2022-12-30,CRWD,BUY,105.29,0.3929188592311595
2022-12-30,COST,BUY,439.486176686735,67.72620819781456
2023-01-06,COST,SELL,464.873362840577,67.72620819781456
2023-01-06,CRWD,SELL,94.72,39.08750930499215
2023-01-06,GNRC,SELL,100.75,66.67042317706384
2023-01-06,TSLA,SELL,113.06,37.54710235551675
2023-01-06,AZO,BUY,2486.64,9.279308538053732
2023-01-06,EPAM,BUY,316.67,72.86544283659939
2023-01-13,AZO,SELL,2368.88,1.8956236163217042
2023-01-13,CRWD,SELL,99.53,67.86876350378961
