date,equity
2024-01-02,134567.38875595943
2024-01-03,133169.8307614045
2024-01-04,133042.0198893857
2024-01-05,133467.16279984644
2024-01-08,135355.55388793783
2024-01-09,134936.590373596
2024-01-10,134417.09547690052
2024-01-11,134254.23640639646
2024-01-12,134264.95374053082
2024-01-16,133292.02649025884
2024-01-17,132579.33492407424
2024-01-18,132756.89947732864
2024-01-19,135295.87534404715
2024-01-22,135689.00968212335
2024-01-23,136324.64180370778
2024-01-24,137678.11400546637
2024-01-25,139087.04149544428
2024-01-26,139284.82721273825
2024-01-29,140558.12683759938
2024-01-30,140032.88661670825
2024-01-31,138055.7784338145
2024-02-01,141896.07633397312
2024-02-02,145129.55356901788
2024-02-05,147439.33367530987
2024-02-06,146814.55788394957
2024-02-07,148457.7222924024
2024-02-08,149373.48855889085
2024-02-09,149995.03544239068
2024-02-12,149936.47719570377
2024-02-13,148445.56477754813
2024-02-14,154546.20431838324
2024-02-15,156839.00512509
2024-02-16,156086.98338252492
2024-02-20,152443.8154104886
2024-02-21,150386.19632916685
2024-02-22,159689.4377954303
2024-02-23,157437.86396335848
2024-02-26,161385.4914858059
2024-02-27,161662.1410527423
2024-02-28,160629.7241532526
2024-02-29,163263.00341775978
2024-03-01,168493.2418054256
2024-03-04,173197.01218435625
2024-03-05,170586.7924073075
2024-03-06,174309.59152679399
2024-03-07,177995.1067151029
2024-03-08,174243.20464164752
2024-03-11,170296.29624733073
2024-03-12,172605.6406034905
2024-03-13,170673.91213215984
2024-03-14,167069.688251386
2024-03-15,165995.32709183783
2024-03-18,165998.32662050356
2024-03-19,166250.98838113656
2024-03-20,170536.16425682395
2024-03-21,173583.90910517453
2024-03-22,173484.85746914492
2024-03-25,176557.25773407918
2024-03-26,174138.72082102578
2024-03-27,173546.6877334373
2024-03-28,173979.18210258515
2024-04-01,174827.31137554714
2024-04-02,173033.3463825837
2024-04-03,176197.72549017743
2024-04-04,172127.51050618093
2024-04-05,175325.5770278264
2024-04-08,173561.5468319361
2024-04-09,171054.65458800262
2024-04-10,170296.65759265714
2024-04-11,172818.48946480127
2024-04-12,168426.27931901516
2024-04-15,166051.85571387358
2024-04-16,168058.26673632048
2024-04-17,165999.02290001969
2024-04-18,163234.50504326224
2024-04-19,156508.8395965821
2024-04-22,158369.46499602683
2024-04-23,161513.47229599976
2024-04-24,161524.60818765624
2024-04-25,163036.05274440098
2024-04-26,162919.16190956565
2024-04-29,165328.5521293438
2024-04-30,163157.2972690809
2024-05-01,161499.78723462904
2024-05-02,163941.57692450596
2024-05-03,166739.13961248315
2024-05-06,169605.63951338234
2024-05-07,168495.27749578824
2024-05-08,170563.85053646917
2024-05-09,172114.16769525042
2024-05-10,172448.70777676118
2024-05-13,171731.6845465936
2024-05-14,172286.7091334332
2024-05-15,176916.2461492211
2024-05-16,176398.2356298965
