date,equity
2024-01-02,128198.08975526935
2024-01-03,127090.23553679853
2024-01-04,126807.52545068317
2024-01-05,127140.37167929248
2024-01-08,129298.90462099617
2024-01-09,128128.50494526973
2024-01-10,127956.46041882067
2024-01-11,127394.79522783449
2024-01-12,127474.61675741107
2024-01-16,126736.52301633955
2024-01-17,125677.99018242354
2024-01-18,125317.5921988006
2024-01-19,127072.47873285098
2024-01-22,127664.10285540289
2024-01-23,128544.48322538145
2024-01-24,129207.86933682926
2024-01-25,130309.04986517233
2024-01-26,130694.3699036658
2024-01-29,131989.82051433463
2024-01-30,131765.15154638342
2024-01-31,130048.67867946839
2024-02-01,133496.05091393794
2024-02-02,135581.49130086426
2024-02-05,136940.0318432042
2024-02-06,137784.9420467796
2024-02-07,139091.11581155108
2024-02-08,139807.89829458532
2024-02-09,141792.0201823931
2024-02-12,142207.39174764854
2024-02-13,141334.88205256627
2024-02-14,146316.6710328888
2024-02-15,148936.62844026255
2024-02-16,147218.2149793374
2024-02-20,144525.80259803456
2024-02-21,141313.12409883025
2024-02-22,148929.87166584926
2024-02-23,147603.4007926577
2024-02-26,150540.27646985883
2024-02-27,151264.50385214703
2024-02-28,151037.96208974047
2024-02-29,153726.9707399596
2024-03-01,156623.51068359174
2024-03-04,161214.5612079013
2024-03-05,158835.53808501648
2024-03-06,162252.99567705498
2024-03-07,165185.24919508505
2024-03-08,163098.04571352867
2024-03-11,160251.23128138765
2024-03-12,163884.26405989972
2024-03-13,163640.20952099055
2024-03-14,160892.40295959276
2024-03-15,159575.81991465169
2024-03-18,159102.8248221272
2024-03-19,158827.23471699146
2024-03-20,162952.15074898917
2024-03-21,166675.14592810362
2024-03-22,165698.2572751451
2024-03-25,168776.92666770806
2024-03-26,166791.83077278401
2024-03-27,166624.90378975295
2024-03-28,167734.23800225332
2024-04-01,168108.6270121989
2024-04-02,165373.40717366262
2024-04-03,167371.11433221973
2024-04-04,162471.21234696422
2024-04-05,165027.29642176494
2024-04-08,164022.3328882597
2024-04-09,161753.09646887137
2024-04-10,160825.11892210896
2024-04-11,163035.21812467836
2024-04-12,158882.448254606
2024-04-15,156456.45003231033
2024-04-16,158257.5807586798
2024-04-17,156828.75149876322
2024-04-18,154567.55118760263
2024-04-19,149041.7477582659
2024-04-22,151049.63236747184
2024-04-23,153912.5372535541
2024-04-24,153766.4931151718
2024-04-25,155155.71123267684
2024-04-26,154939.2641523764
2024-04-29,156933.44244394594
2024-04-30,154820.9274056951
2024-05-01,153196.3815228136
2024-05-02,155350.52967658837
2024-05-03,157339.15125061013
2024-05-06,159724.9255111893
2024-05-07,159748.17194588442
2024-05-08,161328.02827346875
2024-05-09,162855.48398202594
2024-05-10,162643.0590553566
2024-05-13,162151.75789568704
2024-05-14,162473.31260650902
2024-05-15,166085.75891177237
2024-05-16,165483.5962867104
2024-05-17,166011.23045128776
2024-05-20,166301.63109120374
2024-05-21,168095.71070130405
2024-05-22,168493.1429738205
2024-05-23,168454.21953854777
2024-05-24,171097.91826256935
2024-05-28,169843.08210736545
2024-05-29,168235.5250414352
2024-05-30,168061.26377292647
2024-05-31,164919.7422090829
2024-06-03,164428.45974106513
2024-06-04,163364.50220807423
2024-06-05,166242.29194874625
2024-06-06,164883.70345835638
2024-06-07,163944.02711930973
2024-06-10,165018.19701341496
2024-06-11,165100.12641856493
2024-06-12,165998.239019095
2024-06-13,165486.0927172382
2024-06-14,163770.36525697805
2024-06-17,164553.90677560843
2024-06-18,166302.48174066495
2024-06-20,163915.3587917795
2024-06-21,162793.4187655774
2024-06-24,161542.11618118428
2024-06-25,160680.8311985242
2024-06-26,158971.0789708427
2024-06-27,159317.96049673032
2024-06-28,159019.99291396502
2024-07-01,159402.83943050285
2024-07-02,159891.97031850327
2024-07-03,160535.1887752225
2024-07-05,161041.93217451347
2024-07-08,162044.6637678479
2024-07-09,161424.37523966024
2024-07-10,163727.72049757213
2024-07-11,162667.68687201283
2024-07-12,163987.3658317149
2024-07-15,164970.5339306874
2024-07-16,166364.2107604853
2024-07-17,163244.45547891615
2024-07-18,162442.43078625435
2024-07-19,161901.1910784733
2024-07-22,163380.5692395305
2024-07-23,163979.50682195017
2024-07-24,157906.9790444473
2024-07-25,155567.9848419547
2024-07-26,159860.20790001893
