date,equity
2024-01-02,224728.49327635532
2024-01-03,223821.32475523103
2024-01-04,223671.35882678698
2024-01-05,226049.49638555213
2024-01-08,233120.9334837821
2024-01-09,234991.95608581425
2024-01-10,240104.91079694853
2024-01-11,240722.29956018194
2024-01-12,242194.7474788875
2024-01-16,241715.9633290884
2024-01-17,240215.36030585278
2024-01-18,243201.91911367595
2024-01-19,246801.40021664443
2024-01-22,246027.7649607946
2024-01-23,247897.9767474228
2024-01-24,249972.61587373435
2024-01-25,253344.04107643894
2024-01-26,254697.90684435773
2024-01-29,259402.84262438188
2024-01-30,258238.85836997136
2024-01-31,252595.5694731256
2024-02-01,258990.86826894837
2024-02-02,275556.4415862574
2024-02-05,275703.27878830687
2024-02-06,273220.94030352996
2024-02-07,280612.97443797684
2024-02-08,280069.8041493151
2024-02-09,284602.51925745467
2024-02-12,285069.5398616508
2024-02-13,282163.7667994301
2024-02-14,289660.0239895708
2024-02-15,290477.7572698541
2024-02-16,287133.23861215694
2024-02-20,280407.26528510835
2024-02-21,275515.8280834586
2024-02-22,302890.8698840587
2024-02-23,302804.84515177796
2024-02-26,302529.5131942785
2024-02-27,302449.68849818397
2024-02-28,300269.36816417583
2024-02-29,305475.6076762492
2024-03-01,312911.2925622866
2024-03-04,316140.941215195
2024-03-05,311962.481565219
2024-03-06,314933.44400265015
2024-03-07,323672.07756517385
2024-03-08,315561.276431947
2024-03-11,308364.55267418694
2024-03-12,321887.99227724434
2024-03-13,319740.56266659015
2024-03-14,318045.5382128464
2024-03-15,314030.5988516329
2024-03-18,319813.2930173802
2024-03-19,321483.26783630566
2024-03-20,324872.1198470453
2024-03-21,326334.3633381005
2024-03-22,331927.5515400744
2024-03-25,329963.45920807833
2024-03-26,326750.14671727706
2024-03-27,324453.20537044393
2024-03-28,323093.7520795064
2024-04-01,327294.44752594555
2024-04-02,326355.3471642213
2024-04-03,327458.2399994481
2024-04-04,322533.1419417996
2024-04-05,329620.8158752446
2024-04-08,329699.6054951615
2024-04-09,330755.7869599248
2024-04-10,331201.0755948407
2024-04-11,336091.3029114328
2024-04-12,330801.25630223204
2024-04-15,325561.2239255287
2024-04-16,324812.26460789336
2024-04-17,324121.4957967474
2024-04-18,322857.17976016307
2024-04-19,316764.9976221194
2024-04-22,321267.0116710016
2024-04-23,325337.32574259466
2024-04-24,327125.79707708425
2024-04-25,320691.4117012814
2024-04-26,353480.0528335611
2024-04-29,350414.22762673156
2024-04-30,342375.6062191699
2024-05-01,341225.80487644544
2024-05-02,350597.37644952105
2024-05-03,355990.978442145
2024-05-06,362666.45854878996
2024-05-07,362820.1102682202
2024-05-08,360819.1744287263
2024-05-09,359961.37479539576
2024-05-10,359256.16174091573
2024-05-13,359717.0060920818
2024-05-14,362163.54602812254
2024-05-15,367376.7632565921
2024-05-16,366694.0515853558
2024-05-17,366207.5443337144
2024-05-20,371331.30111033644
2024-05-21,373850.83958149754
2024-05-22,372686.0601293751
2024-05-23,381381.750877137
2024-05-24,386822.4351862121
2024-05-28,395877.812740298
2024-05-29,396855.7349601728
2024-05-30,387950.202025447
2024-05-31,387689.6536006418
2024-06-03,395714.4512822736
2024-06-04,398087.89633028465
2024-06-05,407399.30850755726
2024-06-06,405754.08683417784
2024-06-07,405543.8288953039
2024-06-10,408569.7746770471
2024-06-11,405651.1795217065
2024-06-12,420044.0631553875
2024-06-13,434839.54493266495
2024-06-14,442455.35981575295
2024-06-17,439435.8737387593
2024-06-18,454868.8025767367
2024-06-20,438764.8768327573
2024-06-21,424640.39196147845
2024-06-24,396257.22283771966
2024-06-25,423029.9993870825
2024-06-26,424070.044591379
2024-06-27,415984.5318740907
2024-06-28,414474.7888355939
2024-07-01,417802.56364991365
2024-07-02,420207.2088541117
2024-07-03,424044.82986811583
2024-07-05,432156.1058874734
2024-07-08,435458.8451030818
2024-07-09,440973.6307957744
2024-07-10,447521.6003185081
2024-07-11,429504.2127254645
2024-07-12,432058.88278420386
2024-07-15,434338.69857532694
2024-07-16,431255.4661472746
2024-07-17,411698.5746481101
2024-07-18,412476.1649001145
2024-07-19,407315.92558283533
2024-07-22,416627.3652641097
2024-07-23,416260.895395712
2024-07-24,395742.6153682455
2024-07-25,388750.4201473524
2024-07-26,389718.9309991102
2024-07-29,390219.57928631746
2024-07-30,391220.8758607317
2024-07-31,397085.612939449
2024-08-01,390434.14283797715
2024-08-02,393116.18723373127
2024-08-05,378651.46734593646
2024-08-06,384220.6517108568
2024-08-07,384454.3592742479
2024-08-08,395913.7140048614
2024-08-09,401810.89048398705
2024-08-12,402535.4845712236
2024-08-13,410899.43755375454
2024-08-14,410627.3297831783
2024-08-15,417519.1676724673
2024-08-16,414910.9869844109
2024-08-19,421317.9005390907
2024-08-20,417975.6169413769
2024-08-21,421506.5871615515
2024-08-22,414231.11778103036
2024-08-23,420864.0861431888
2024-08-26,416090.7758437573
2024-08-27,418075.03060558793
2024-08-28,413589.1890675198
2024-08-29,407315.8223216803
2024-08-30,409578.47570091963
2024-09-03,390359.06890731317
2024-09-04,387423.784838374
2024-09-05,390558.65807446
2024-09-06,380274.34209792386
2024-09-09,384800.46290980745
2024-09-10,388715.56241340394
2024-09-11,396424.8752358904
2024-09-12,399270.8609009937
2024-09-13,398472.5918808526
2024-09-16,394977.0333847335
2024-09-17,396242.52045988664
2024-09-18,392107.4388555163
2024-09-19,402006.80981475324
2024-09-20,400098.51858160447
2024-09-23,400135.22825031047
2024-09-24,399387.127064823
2024-09-25,398708.13877840975
