date,symbol,router,aggregator,weights,mu,var
2022-09-23,NVDA,risk,median,{'heur': 1.0},-1.987892427513622,1e-06
2022-09-23,MSFT,risk,median,{'heur': 1.0},-1.722933236692858,1e-06
2022-09-23,AAPL,risk,median,{'heur': 1.0},-1.6051775407958997,1e-06
2022-09-23,GOOGL,risk,median,{'heur': 1.0},-1.7588727955736776,1e-06
2022-09-23,AMZN,risk,median,{'heur': 1.0},-1.7159023900049801,1e-06
2022-09-23,META,risk,median,{'heur': 1.0},-1.7887251619430533,1e-06
2022-09-30,NVDA,risk,median,{'heur': 1.0},-1.566253651329601,1e-06
2022-09-30,MSFT,risk,median,{'heur': 1.0},-1.6973168897625484,1e-06
2022-09-30,AAPL,risk,median,{'heur': 1.0},-1.6646469135308801,1e-06
2022-09-30,GOOGL,risk,median,{'heur': 1.0},-1.7251892988875492,1e-06
2022-09-30,AMZN,risk,median,{'heur': 1.0},-1.6542661368457772,1e-06
2022-09-30,META,risk,median,{'heur': 1.0},-1.8076272530325457,1e-06
2022-10-07,NVDA,risk,median,{'heur': 1.0},-1.52573241180768,1e-06
2022-10-07,MSFT,risk,median,{'heur': 1.0},-1.3908889053037747,1e-06
2022-10-07,AAPL,risk,median,{'heur': 1.0},-1.6515683616544117,1e-06
2022-10-07,GOOGL,risk,median,{'heur': 1.0},-1.4093912306402108,1e-06
2022-10-07,AMZN,risk,median,{'heur': 1.0},-1.3639448802884462,1e-06
2022-10-07,META,risk,median,{'heur': 1.0},-1.531083713829485,1e-06
2022-10-14,NVDA,risk,median,{'heur': 1.0},-1.5591122073045856,1e-06
2022-10-14,MSFT,risk,median,{'heur': 1.0},-1.6544522563369932,1e-06
2022-10-14,AAPL,risk,median,{'heur': 1.0},-1.6551730909743665,1e-06
2022-10-14,GOOGL,risk,median,{'heur': 1.0},-1.3603469863633109,1e-06
2022-10-14,AMZN,risk,median,{'heur': 1.0},-1.7335930429287207,1e-06
2022-10-14,META,risk,median,{'heur': 1.0},-1.8291170566311974,1e-06
2022-10-21,NVDA,risk,median,{'heur': 1.0},-1.2160386934991718,1e-06
2022-10-21,MSFT,risk,median,{'heur': 1.0},-1.0643481143596212,1e-06
2022-10-21,AAPL,risk,median,{'heur': 1.0},-1.084526866796204,1e-06
2022-10-21,GOOGL,risk,median,{'heur': 1.0},-1.0599824556118838,1e-06
2022-10-21,AMZN,risk,median,{'heur': 1.0},-1.046357138432174,1e-06
2022-10-21,META,risk,median,{'heur': 1.0},-1.4502565066078061,1e-06
2022-10-28,NVDA,risk,median,{'heur': 1.0},-0.06805062423375588,1e-06
2022-10-28,MSFT,risk,median,{'heur': 1.0},-1.1262773614096486,1e-06
2022-10-28,AAPL,risk,median,{'heur': 1.0},0.039458101358795974,1e-06
2022-10-28,GOOGL,risk,median,{'heur': 1.0},-1.635968197869881,1e-06
2022-10-28,AMZN,risk,median,{'heur': 1.0},-1.7536726988446414,1e-06
2022-10-28,META,risk,median,{'heur': 1.0},-2.0523618409503257,1e-06
2022-11-04,NVDA,risk,median,{'heur': 1.0},-0.09511509304230129,1e-06
2022-11-04,MSFT,risk,median,{'heur': 1.0},-1.7461430725374518,1e-06
2022-11-04,AAPL,risk,median,{'heur': 1.0},-1.6603188650353875,1e-06
2022-11-04,GOOGL,risk,median,{'heur': 1.0},-1.8195202306331975,1e-06
2022-11-04,AMZN,risk,median,{'heur': 1.0},-1.9403028587432432,1e-06
2022-11-04,META,risk,median,{'heur': 1.0},-2.1672341359589162,1e-06
2022-11-11,NVDA,risk,median,{'heur': 1.0},0.008824291533034594,1e-06
2022-11-11,MSFT,risk,median,{'heur': 1.0},-0.06226142843185131,1e-06
2022-11-11,AAPL,risk,median,{'heur': 1.0},-0.04763417693613177,1e-06
2022-11-11,GOOGL,risk,median,{'heur': 1.0},-1.1814327432319365,1e-06
2022-11-11,AMZN,risk,median,{'heur': 1.0},-1.5889429192410007,1e-06
2022-11-11,META,risk,median,{'heur': 1.0},-1.4221310539779752,1e-06
2022-11-18,NVDA,risk,median,{'heur': 1.0},0.13989681979257773,1e-06
2022-11-18,MSFT,risk,median,{'heur': 1.0},-0.07506918211588492,1e-06
2022-11-18,AAPL,risk,median,{'heur': 1.0},-0.00944315740637431,1e-06
2022-11-18,GOOGL,risk,median,{'heur': 1.0},-1.141508340461679,1e-06
2022-11-18,AMZN,risk,median,{'heur': 1.0},-1.5571080407789604,1e-06
2022-11-18,META,risk,median,{'heur': 1.0},-1.4056934777227617,1e-06
2022-11-25,NVDA,risk,median,{'heur': 1.0},0.17996518546523754,1e-06
2022-11-25,MSFT,risk,median,{'heur': 1.0},-0.0043302204899643496,1e-06
2022-11-25,AAPL,risk,median,{'heur': 1.0},-1.0756773283564338,1e-06
2022-11-25,GOOGL,risk,median,{'heur': 1.0},-1.07342977334951,1e-06
