,baseline
2024-01-02,100000.0
2024-01-03,99341.81700881034
2024-01-04,99428.51717472592
2024-01-05,100543.70060058049
2024-01-08,104755.37230657018
2024-01-09,105824.4080081263
2024-01-10,108021.45915250028
2024-01-11,108762.17271017999
2024-01-12,109163.61457317861
2024-01-16,111141.87930213092
2024-01-17,110692.51176015582
2024-01-18,112379.79889456488
2024-01-19,115501.59790160583
2024-01-22,115379.59020859346
2024-01-23,115929.13488739572
2024-01-24,117968.20119927276
2024-01-25,118544.32963542058
2024-01-26,117809.31293304177
2024-01-29,120078.45001733938
2024-01-30,120246.8578967691
2024-01-31,117468.08244579415
2024-02-01,119861.00517778218
2024-02-02,124116.21117731021
2024-02-05,126657.91660950727
2024-02-06,125485.16650254061
2024-02-07,128586.56063665192
2024-02-08,128119.23035891863
2024-02-09,131574.23872303907
2024-02-12,130980.42467169199
2024-02-13,129650.58656052372
2024-02-14,132018.46908072586
2024-02-15,130333.49079841188
2024-02-16,129949.11664863423
2024-02-20,126496.35997832147
2024-02-21,124358.66386664257
2024-02-22,137124.60920313443
2024-02-23,137237.28533998123
2024-02-26,137144.56240915414
2024-02-27,136730.58738803808
2024-02-28,135685.52417736847
2024-02-29,137989.21992188986
2024-03-01,141527.8931765527
2024-03-04,144520.05868272297
2024-03-05,143621.6129697971
2024-03-06,146386.16848027887
2024-03-07,151458.52398827428
2024-03-08,145727.35523335155
2024-03-11,143676.9490730455
2024-03-12,151503.03355359548
2024-03-13,150414.68794716528
2024-03-14,148725.43334746044
2024-03-15,147425.26705555775
2024-03-18,148188.8792302629
2024-03-19,149720.2064940422
2024-03-20,151247.2467300477
2024-03-21,152909.8970686394
2024-03-22,155787.49168351066
2024-03-25,155733.46151320182
2024-03-26,153036.0749993338
2024-03-27,150607.35353144238
2024-03-28,150621.49401777453
2024-04-01,151148.76105642057
2024-04-02,149780.31486562794
2024-04-03,149140.01651731788
2024-04-04,145617.4069438983
2024-04-05,148832.39010267396
2024-04-08,147798.4579817392
2024-04-09,146179.97031510464
2024-04-10,147521.24176331743
2024-04-11,151865.21435273727
2024-04-12,148528.23316918095
2024-04-15,145144.38696396234
2024-04-16,146739.19585265778
2024-04-17,142860.40094583406
2024-04-18,142498.17852838626
2024-04-19,133009.002137717
2024-04-22,136701.87741941266
2024-04-23,140610.28521425778
2024-04-24,137960.9593873779
2024-04-25,139675.13939303622
2024-04-26,145955.74468192336
2024-04-29,145428.86770460464
2024-04-30,142277.2262738884
2024-05-01,139545.94814002299
2024-05-02,142819.3520183543
2024-05-03,147095.80507097024
2024-05-06,151503.66493608366
2024-05-07,149289.99388653156
2024-05-08,149304.664331048
2024-05-09,147816.6738503663
2024-05-10,149317.60185840202
2024-05-13,149720.6761451554
2024-05-14,151097.70523480515
2024-05-15,155478.30816931103
2024-05-16,154914.20160845082
2024-05-17,152857.07022979745
2024-05-20,155939.80858923454
2024-05-21,157069.51279522103
2024-05-22,156817.15975051216
2024-05-23,165526.8742449616
2024-05-24,168726.11496613338
2024-05-28,176462.78799407487
2024-05-29,177266.37546260102
2024-05-30,170814.75638796552
2024-05-31,169976.979488318
2024-06-03,175330.52455242534
2024-06-04,177167.2746148783
2024-06-05,184473.19759405655
2024-06-06,183045.2888549957
2024-06-07,182840.4458446651
2024-06-10,184320.7197143721
2024-06-11,184068.40309106966
2024-06-12,189655.9941568261
2024-06-13,194304.67207323882
2024-06-14,196795.2642084128
2024-06-17,196645.67930234858
2024-06-18,201146.58263900236
2024-06-20,196076.78277877517
2024-06-21,192258.13904737303
2024-06-24,183189.74778671266
2024-06-25,191918.1247992861
2024-06-26,192403.67521832453
2024-06-27,189995.05114382267
2024-06-28,188729.57919822252
