date,equity
2024-01-02,329364.7825383882
2024-01-03,325268.9200416998
2024-01-04,328202.3507780593
2024-01-05,335717.13021689205
2024-01-08,357297.33395570534
2024-01-09,363362.49261106906
2024-01-10,371636.27161105745
2024-01-11,374863.7292044417
2024-01-12,374097.89180940145
2024-01-16,385530.750063931
2024-01-17,383281.1027160002
2024-01-18,390488.1796300398
2024-01-19,406789.57561018266
2024-01-22,407904.1425333215
2024-01-23,409401.62815398053
2024-01-24,419583.1628076851
2024-01-25,421326.81044817873
2024-01-26,417319.8397919858
2024-01-29,427125.2935820555
2024-01-30,429238.1842523001
2024-01-31,420711.40539859317
2024-02-01,430968.1562250253
2024-02-02,452391.0897844994
2024-02-05,474080.6988654612
2024-02-06,466497.541087786
2024-02-07,479325.31745471066
2024-02-08,476193.5895357065
2024-02-09,493233.4715753527
2024-02-12,494019.8224720453
2024-02-13,493199.28240593115
2024-02-14,505315.9240488895
2024-02-15,496823.33436460333
2024-02-16,496515.63183981087
2024-02-20,474901.2389315761
2024-02-21,461362.32784068567
2024-02-22,537029.7976042173
2024-02-23,538937.553257934
2024-02-26,540817.9575761133
2024-02-27,538144.3645273562
2024-02-28,531046.6929554658
2024-02-29,540954.7142537987
2024-03-01,562610.1341653389
2024-03-04,582836.4467950632
2024-03-05,587834.9033644781
2024-03-06,606544.0873904098
2024-03-07,633684.7129017125
2024-03-08,598529.7731804714
2024-03-11,586535.6544737882
2024-03-12,628515.0699471785
2024-03-13,621505.9640895105
2024-03-14,601374.4444358759
2024-03-15,600639.3430898283
2024-03-18,604868.7401366261
2024-03-19,611317.1175256808
2024-03-20,617977.4776284796
2024-03-21,625246.4332642853
2024-03-22,644762.5192328562
2024-03-25,649638.1216489706
2024-03-26,632946.1924796365
2024-03-27,617143.2230776158
2024-03-28,617868.0671955788
2024-04-01,617915.9342599732
2024-04-02,611686.3777367185
2024-04-03,608349.3595332633
2024-04-04,587431.4523931585
2024-04-05,601812.0861674768
2024-04-08,595828.7031182483
2024-04-09,583663.6306101584
2024-04-10,595185.9168249593
2024-04-11,619645.9867302072
2024-04-12,603029.2772334912
2024-04-15,588087.9149905596
2024-04-16,597757.0619981134
2024-04-17,574644.1080479489
2024-04-18,578993.1727557314
2024-04-19,521067.186687139
2024-04-22,543756.1752098153
2024-04-23,563621.0069332556
2024-04-24,544843.4413867606
2024-04-25,565050.1807130139
2024-04-26,599945.2706561175
2024-04-29,600095.710001355
2024-04-30,590830.0139651209
2024-05-01,567846.9849040249
2024-05-02,586829.6950122077
2024-05-03,607152.6829234173
2024-05-06,630067.3304639499
2024-05-07,619222.0213027193
2024-05-08,618251.0037107301
2024-05-09,606865.4805370539
2024-05-10,614599.4305126863
2024-05-13,618162.1077339984
2024-05-14,624706.2192518411
2024-05-15,647094.3290840418
2024-05-16,645241.1898767947
2024-05-17,632385.4640110225
2024-05-20,648120.0518924805
2024-05-21,652263.9720385757
2024-05-22,649282.5377420451
2024-05-23,709793.3452879018
2024-05-24,728051.2112781209
2024-05-28,778872.3573602581
2024-05-29,785190.8098602471
2024-05-30,755615.802216917
2024-05-31,749687.1243841334
2024-06-03,786387.4864700931
2024-06-04,796213.9109749371
2024-06-05,837263.3377686766
2024-06-06,827402.7225035485
2024-06-07,826650.5257773609
2024-06-10,832818.5389321058
2024-06-11,826869.3466431597
2024-06-12,856207.4452048971
2024-06-13,886366.1898802433
2024-06-14,901890.0788627903
2024-06-17,895735.2330106824
2024-06-18,927193.3340325875
2024-06-20,894367.4894879848
2024-06-21,865576.4883353292
2024-06-24,807720.9373254771
2024-06-25,862293.9038808731
2024-06-26,864413.9063410409
2024-06-27,847932.5968926079
2024-06-28,844855.1739665539
