date,equity
2024-01-02,224728.4932763554
2024-01-03,223821.3247552311
2024-01-04,223671.35882678707
2024-01-05,226049.49638555222
2024-01-08,233120.9334837822
2024-01-09,234991.95608581434
2024-01-10,240104.91079694862
2024-01-11,240722.29956018203
2024-01-12,242194.74747888758
2024-01-16,241715.96332908852
2024-01-17,240215.3603058529
2024-01-18,243201.91911367606
2024-01-19,246801.4002166445
2024-01-22,246027.7649607947
2024-01-23,247897.97674742292
2024-01-24,249972.61587373444
2024-01-25,253344.04107643905
2024-01-26,254697.9068443578
2024-01-29,259402.842624382
2024-01-30,258238.85836997145
2024-01-31,252595.56947312568
2024-02-01,258990.86826894846
2024-02-02,275556.44158625754
2024-02-05,275703.2787883069
2024-02-06,273220.94030353
2024-02-07,280612.9744379769
2024-02-08,280069.80414931517
2024-02-09,284602.5192574548
2024-02-12,285069.5398616509
2024-02-13,282163.76679943013
2024-02-14,289660.0239895709
2024-02-15,290477.7572698542
2024-02-16,287133.238612157
2024-02-20,280407.2652851084
2024-02-21,275515.8280834587
2024-02-22,302890.8698840588
2024-02-23,302804.845151778
2024-02-26,302529.5131942786
2024-02-27,302449.68849818397
2024-02-28,300269.3681641759
2024-02-29,305475.60767624923
2024-03-01,312911.2925622867
2024-03-04,316140.9412151951
2024-03-05,311962.4815652191
2024-03-06,314933.44400265027
2024-03-07,323672.0775651739
2024-03-08,315561.27643194713
2024-03-11,308364.552674187
2024-03-12,321887.99227724446
2024-03-13,319740.56266659027
2024-03-14,318045.5382128465
2024-03-15,314030.598851633
2024-03-18,319813.2930173803
2024-03-19,321483.26783630566
2024-03-20,324872.1198470454
2024-03-21,326334.3633381006
2024-03-22,331927.5515400745
2024-03-25,329963.45920807845
2024-03-26,326750.1467172771
2024-03-27,324453.205370444
2024-03-28,323093.7520795065
2024-04-01,327294.4475259456
2024-04-02,326355.34716422134
2024-04-03,327458.2399994482
2024-04-04,322533.14194179967
2024-04-05,329620.8158752447
2024-04-08,329699.6054951615
2024-04-09,330755.7869599249
2024-04-10,331201.0755948408
2024-04-11,336091.30291143287
2024-04-12,330801.2563022321
2024-04-15,325561.22392552876
2024-04-16,324812.2646078934
2024-04-17,324121.4957967474
2024-04-18,322857.1797601631
2024-04-19,316764.9976221195
2024-04-22,321267.0116710016
2024-04-23,325337.32574259466
2024-04-24,327125.7970770843
2024-04-25,320691.4117012814
2024-04-26,353480.0528335611
2024-04-29,350414.2276267316
2024-04-30,342375.60621917
2024-05-01,341225.80487644544
2024-05-02,350597.37644952105
2024-05-03,355990.97844214505
2024-05-06,362666.45854879
2024-05-07,362820.1102682202
2024-05-08,360819.1744287263
2024-05-09,359961.37479539576
2024-05-10,359256.1617409158
2024-05-13,359717.0060920818
2024-05-14,362163.54602812254
2024-05-15,367376.76325659215
2024-05-16,366694.05158535583
2024-05-17,366207.5443337144
2024-05-20,371331.3011103364
2024-05-21,373850.8395814975
2024-05-22,372686.0601293751
2024-05-23,381381.75087713695
2024-05-24,386822.43518621207
2024-05-28,395877.81274029793
2024-05-29,396855.7349601728
2024-05-30,387950.2020254469
2024-05-31,387689.65360064176
2024-06-03,395714.45128227357
2024-06-04,398087.8963302846
2024-06-05,407399.30850755726
2024-06-06,405754.08683417784
2024-06-07,405543.8288953039
2024-06-10,408569.77467704704
2024-06-11,405651.1795217064
2024-06-12,420044.06315538747
2024-06-13,434839.5449326649
2024-06-14,442455.3598157529
2024-06-17,439435.87373875926
2024-06-18,454868.80257673666
2024-06-20,438764.87683275726
2024-06-21,424640.3919614784
2024-06-24,396257.2228377196
2024-06-25,423029.99938708247
2024-06-26,424070.04459137894
2024-06-27,415984.53187409067
2024-06-28,414474.78883559385
2024-07-01,417802.56364991365
2024-07-02,420207.2088541117
2024-07-03,424044.8298681158
2024-07-05,432156.1058874734
2024-07-08,435458.8451030818
2024-07-09,440973.6307957744
2024-07-10,447521.6003185081
2024-07-11,429504.2127254645
2024-07-12,432058.88278420386
2024-07-15,434338.69857532694
2024-07-16,431255.4661472746
2024-07-17,411698.5746481101
2024-07-18,412476.1649001145
2024-07-19,407315.9255828353
2024-07-22,416627.3652641097
2024-07-23,416260.895395712
2024-07-24,395742.6153682455
