date,equity
2024-01-02,145290.12043710402
2024-01-03,141479.34459196206
2024-01-04,140764.19612219156
2024-01-05,140320.36895697936
2024-01-08,142511.0345265969
2024-01-09,141551.05982807121
2024-01-10,141617.5663282157
2024-01-11,141177.08273080524
2024-01-12,139214.7586842706
2024-01-16,139488.74405238338
2024-01-17,139007.56341365338
2024-01-18,139723.04109780633
2024-01-19,139804.7830957206
2024-01-22,140140.34335447583
2024-01-23,141705.19749103906
2024-01-24,141447.4348145936
2024-01-25,139181.3741290543
2024-01-26,139227.54814559096
2024-01-29,142292.29211056113
2024-01-30,142896.63229954118
2024-01-31,142053.0835432036
2024-02-01,144013.11639573355
2024-02-02,143659.92336173638
2024-02-05,142423.36114845605
2024-02-06,142557.0832773088
2024-02-07,143977.6565458007
2024-02-08,143855.72646166044
2024-02-09,145523.60203570005
2024-02-12,147492.82071714994
2024-02-13,143878.89171192897
2024-02-14,144680.0263451427
2024-02-15,147477.12699431242
2024-02-16,148075.37781360818
2024-02-20,145945.7106216379
2024-02-21,146814.38010403392
2024-02-22,150832.7878942995
2024-02-23,149963.82734102447
2024-02-26,149855.73694774875
2024-02-27,151125.61914302545
2024-02-28,150880.0272317971
2024-02-29,152693.267701757
2024-03-01,154056.58469479423
2024-03-04,151353.8428127439
2024-03-05,150249.46114635942
2024-03-06,149612.65494606263
2024-03-07,151272.79791205056
2024-03-08,151417.8020292288
2024-03-11,155252.95550618385
2024-03-12,154956.23366534972
2024-03-13,155281.33780041133
2024-03-14,154098.15363564697
2024-03-15,154548.4045921133
2024-03-18,156013.31348498358
2024-03-19,155678.74818859858
2024-03-20,157472.17715825705
2024-03-21,157782.55448299777
2024-03-22,156349.25797389873
2024-03-25,156001.09706736405
2024-03-26,155815.22084295563
2024-03-27,158941.29464244543
2024-03-28,159265.39270518947
2024-04-01,157402.66722655535
2024-04-02,152487.1945508488
2024-04-03,153468.08111216934
2024-04-04,151470.48448052476
2024-04-05,152512.98833877395
2024-04-08,155257.55942100973
2024-04-09,156623.5470144802
2024-04-10,155754.65385769313
2024-04-11,157030.5284334354
2024-04-12,152622.89953398472
2024-04-15,149815.46207520168
2024-04-16,150163.89052327702
2024-04-17,152680.03487855432
2024-04-18,152839.06452232983
2024-04-19,152798.9396496771
2024-04-22,155064.04895806528
2024-04-23,162517.0163247492
2024-04-24,161882.30236796036
2024-04-25,160628.70233204687
2024-04-26,163290.60582284
2024-04-29,164901.70168881945
2024-04-30,161909.62080775184
2024-05-01,162180.53685289793
2024-05-02,163412.1836304998
2024-05-03,166021.29613696114
2024-05-06,169007.71099086752
2024-05-07,171663.48056126948
2024-05-08,173084.76548245607
2024-05-09,173991.10108895853
2024-05-10,174870.11195461405
2024-05-13,175622.9855380144
2024-05-14,175796.9904311752
2024-05-15,178167.26482199432
2024-05-16,176089.85877186593
2024-05-17,176145.94453096614
2024-05-20,177708.4636285326
2024-05-21,176344.62440237807
2024-05-22,175472.69546951453
2024-05-23,173075.10798612735
2024-05-24,172405.5207384112
2024-05-28,171298.4511719372
2024-05-29,169576.65673619678
2024-05-30,167616.1141753129
2024-05-31,170130.54628870514
2024-06-03,169696.8446906072
2024-06-04,170645.35725424677
2024-06-05,171864.78650500748
2024-06-06,172717.90548121772
2024-06-07,172647.18014928515
2024-06-10,173078.09783973426
2024-06-11,173143.6961096275
2024-06-12,172895.99687112632
2024-06-13,171043.92616331478
2024-06-14,171595.93858214907
2024-06-17,172076.98052081047
2024-06-18,171098.4045327235
2024-06-20,175117.66379251657
2024-06-21,176651.2114877009
2024-06-24,175921.4969886446
2024-06-25,175459.74563365005
2024-06-26,175778.8989332924
2024-06-27,176525.10721074
2024-06-28,177051.48992518487
2024-07-01,174513.66830324876
2024-07-02,174718.9696846237
2024-07-03,174858.18433778538
2024-07-05,175327.96627824494
2024-07-08,175214.77905422376
2024-07-09,174571.68496545166
2024-07-10,176123.4963372071
2024-07-11,180063.23814747206
2024-07-12,181360.25891259988
2024-07-15,183107.6450968853
2024-07-16,186591.44027138926
2024-07-17,185207.78641445236
2024-07-18,184319.70871404212
2024-07-19,183241.74926318842
2024-07-22,186706.2649549626
2024-07-23,188584.91969961234
2024-07-24,186341.60383714663
2024-07-25,188431.19119323287
2024-07-26,190985.41523392734
2024-07-29,192691.5041647688
2024-07-30,194959.00789119533
2024-07-31,194803.52607522177
2024-08-01,194614.04093493632
2024-08-02,190161.01074768047
2024-08-05,187741.18519595626
2024-08-06,190255.59822397892
2024-08-07,185839.46207970395
2024-08-08,192506.731187024
2024-08-09,192408.65184811328
2024-08-12,193067.63886560427
2024-08-13,196874.1780874494
2024-08-14,197677.79990170774
2024-08-15,205222.13606860023
2024-08-16,206946.42830227246
2024-08-19,210955.10554786245
2024-08-20,208468.7970219221
