,strategy_norm_%,baseline_norm_%
2024-01-02,0.0,0.0
2024-01-03,-0.40367312035004543,-0.5036127106079813
2024-01-04,-0.4704051694363276,-1.2959695226408052
2024-01-05,0.5878218155328963,-0.7624495011614107
2024-01-08,3.734479809423341,2.16185319659683
2024-01-09,4.567050069987166,2.9281494653423668
2024-01-10,6.8422198255404965,4.805148354721545
2024-01-11,7.116946342962627,5.096743260233683
2024-01-12,7.772158282151342,5.498671885192397
2024-01-16,7.559108239934287,5.432552147661318
2024-01-17,6.891367802859261,4.957046858223535
2024-01-18,8.220330928220744,6.868583357480662
2024-01-19,9.82203307577263,9.078893352984796
2024-01-22,9.477779775013628,9.057739797692378
2024-01-23,10.30998923780231,9.785836510848146
2024-01-24,11.233165064803586,10.963910878523508
2024-01-25,12.733386578129302,11.725889537446488
2024-01-26,13.335831665612652,11.560263854107511
2024-01-29,15.429440585171573,12.983540099797297
2024-01-30,14.9114892397767,12.16367737840065
2024-01-31,12.400330634754585,8.640467687350583
2024-02-01,15.246119658916424,10.46369254059294
2024-02-02,22.61749169803644,17.191895703595428
2024-02-05,22.682831522065293,17.443641305979618
2024-02-06,21.57823706295312,16.894154529486926
2024-02-07,24.867554775485743,18.980613769613154
2024-02-08,24.625854098930343,18.714638881747714
2024-02-09,26.642828022466404,20.72966494934596
2024-02-12,26.85064350566897,20.005058197783644
2024-02-13,25.55762853464465,18.24993355495057
2024-02-14,28.89332356861718,19.949223797561324
2024-02-15,29.257199670112534,19.365332793401624
2024-02-16,27.76895106890638,18.278767025194043
2024-02-20,24.77601802824494,16.787113617692494
2024-02-21,22.59941944462227,16.328240235172252
2024-02-22,34.78080392395315,22.491534495309516
2024-02-23,34.742524517979035,22.291506378989865
2024-02-26,34.87748908495056,21.228317806525233
2024-02-27,34.08511900917321,21.504042834758465
2024-02-28,33.0515562430372,20.557127042196587
2024-02-29,35.676136004230365,22.210265992945644
2024-03-01,38.945327892977,23.881271857354804
2024-03-04,40.37942311971969,23.74241254258578
2024-03-05,38.52401725884644,22.14461237241414
2024-03-06,39.84324529515779,23.038055251679346
2024-03-07,43.72355365903615,26.221171454215984
2024-03-08,40.12202840341883,24.126484127533622
2024-03-11,36.926390642668785,22.443050004055
2024-03-12,42.931347301475384,26.354900063271145
2024-03-13,41.97780130146951,25.88705688206332
2024-03-14,41.225141572945454,25.95514683254081
2024-03-15,39.442345364326115,24.40222770996341
2024-03-18,42.010096532349664,26.166942691646543
2024-03-19,42.75163320521489,26.933325947703658
2024-03-20,44.25642119147546,28.57866442522219
2024-03-21,44.90571671437063,28.447070800296004
2024-03-22,47.3893195346035,30.038177478856177
2024-03-25,46.85893507152357,29.58449448039
2024-03-26,45.643899601386174,28.154993818649498
2024-03-27,44.4797028295693,27.765434501562325
2024-03-28,44.473126568697865,27.27508416644948
2024-04-01,46.40386695035832,28.214129594031935
2024-04-02,45.26746669301129,27.797748616399787
2024-04-03,45.01705587215601,28.34320729419042
2024-04-04,41.69812764505183,26.49834376473028
2024-04-05,44.31132483740845,29.230676282119326
2024-04-08,44.34581972937528,28.69147793098592
2024-04-09,44.80822665001831,28.412878590452205
2024-04-10,45.00317851514588,28.80687786597789
2024-04-11,47.144169462394146,31.806984651004576
2024-04-12,44.828133587662464,29.760638148901506
2024-04-15,42.53399444943771,27.098221138945135
2024-04-16,42.20609249005969,27.220795297133282
2024-04-17,41.903666922584094,25.436776314181596
2024-04-18,41.350136582674615,25.433497289196126
2024-04-19,38.682917665818884,20.34643414096329
2024-04-22,40.65394492059249,22.23789350563159
2024-04-23,42.435969561895014,24.823961746675472
2024-04-24,43.218980389134764,23.78317029011303
2024-04-25,40.401941435963806,21.219446261350107
2024-04-26,54.757139935346544,25.937347328521575
2024-04-29,53.4148906719234,25.074524577329882
2024-04-30,49.89550096920927,22.551936706485808
2024-05-01,49.392106319730566,22.55843582443817
2024-05-02,53.495075077720045,25.073618846537137
2024-05-03,55.856448546002,28.165218802542967
2024-05-06,58.77904120920414,30.525954196644566
2024-05-07,58.846311485007696,30.36006933956874
2024-05-08,57.970281549988954,30.295539467982024
2024-05-09,57.594728200294455,30.336623918045902
2024-05-10,57.28597879709185,30.377782144716225
2024-05-13,57.48774111202337,30.36624133497854
2024-05-14,58.55886102446024,31.314114207339006
2024-05-15,60.84126021975376,33.58902183383867
2024-05-16,60.5423621495683,32.95050522581373
2024-05-17,60.32936435742049,32.54961499766678
2024-05-20,62.57259686267227,33.50938693391026
2024-05-21,63.675676271618656,33.86986305926094
2024-05-22,63.16572405445407,33.62744958243371
2024-05-23,66.97278535564588,35.49987474420286
2024-05-24,69.35477193795533,37.5850563228926
2024-05-28,72.47868147362438,40.57246309178461
2024-05-29,72.30754103210582,40.5246828022914
2024-05-30,68.73615880125008,37.354652686886155
2024-05-31,68.6311282876319,36.878103789855764
2024-06-03,72.12162816237834,39.628481500405854
2024-06-04,73.15399183950417,40.4313965276631
2024-06-05,77.20412298647081,44.28522077289758
2024-06-06,76.48851042243004,44.19424407136496
2024-06-07,76.39705574177388,43.95272664241454
2024-06-10,77.71323389245055,44.968528973114076
2024-06-11,76.44374942339407,46.59531763763714
2024-06-12,82.70413884549703,49.160248729010966
2024-06-13,89.13964405562953,49.9289876540967
2024-06-14,92.45225104587892,50.80658221902945
2024-06-17,91.1388826356486,51.3509213845998
2024-06-18,97.85165451016363,51.894040173655156
2024-06-20,90.84702298892924,50.407564714488814
2024-06-21,84.70337742551459,49.3372108022228
2024-06-24,72.35771436934115,46.13241313169405
2024-06-25,84.00291427339207,50.35583923984959
2024-06-26,84.45529672580415,51.805534003083494
2024-06-27,80.93838798285167,52.04586146455039
2024-06-28,80.28170377773651,49.66592208248577
2024-07-01,80.98334440600033,51.48453666400074
2024-07-02,81.50722314245355,52.167764265312066
2024-07-03,84.48228484725246,54.11588440635746
2024-07-05,88.43701340059688,56.29505222628308
2024-07-08,89.87713724786319,56.409633653063594
2024-07-09,92.28180012620264,57.31764083954125
2024-07-10,95.1369716808615,59.770811062261345
2024-07-11,87.28068396200153,53.89908900381728
2024-07-12,88.39462031401533,53.96168237826946
2024-07-15,89.38870942424677,53.899647771516456
2024-07-16,88.04429914646312,52.428352264906785
2024-07-17,79.51672733781294,46.4697781702055
2024-07-18,79.85578718850329,46.77905126591255
2024-07-19,77.60572043685214,45.52297666121616
2024-07-22,81.66587337717881,48.62727165972145
2024-07-23,81.5060781398528,48.98497485101947
2024-07-24,72.55930322259725,41.7481994346782
2024-07-25,69.51043183887987,39.36429355475441
2024-07-26,69.93274055988368,40.839867876554
2024-07-29,70.1510428509312,40.806043209894426
2024-07-30,70.58764743302642,37.76922709801725
2024-07-31,73.14490284244322,43.75561036013418
2024-08-01,70.24460097566569,41.34936124504656
2024-08-02,71.4140775348499,37.66863912646985
2024-08-05,65.1068922881326,31.495446651466686
2024-08-06,67.53527512133996,33.69867870259946
2024-08-07,67.63718078610925,31.95319424096519
2024-08-08,72.63390893947029,36.2653720798517
2024-08-09,75.20530919989383,37.32053085592113
2024-08-12,75.52126064398182,38.702454574647135
2024-08-13,79.16827221868704,43.042461636541994
2024-08-14,79.04962255734489,43.3249167602648
2024-08-15,82.05473420798725,46.92601678918802
2024-08-16,80.91746512264794,47.18903205560559
2024-08-19,83.71113074234422,49.855173978410065
2024-08-20,82.2537639933598,49.1191129757065
2024-08-21,83.79340551093075,49.89463196512294
2024-08-22,80.62101548224547,46.84500083449479
2024-08-23,83.51324986495541,49.18890567379193
2024-08-26,81.43189934229638,47.62563275318578
2024-08-27,82.29711225043617,47.814073736507055
2024-08-28,80.34110938363415,46.007226796249
2024-08-29,77.60567541093812,43.73008061669117
2024-08-30,78.5922810363962,45.50796163584492
2024-09-03,70.21186579713685,39.22627283857511
2024-09-04,68.93196680717037,38.022178846823174
2024-09-05,70.29889450285658,39.28408177879887
2024-09-06,65.81452933692478,35.03961755043581
2024-09-09,67.78809554705654,36.910026805460205
2024-09-10,69.49523249959095,38.24042421390266
2024-09-11,72.85679528639221,43.11270933556677
2024-09-12,74.09775666957489,45.443361209787355
2024-09-13,73.74968006485658,45.798392461847094
2024-09-16,72.22547944799133,44.8088875469171
2024-09-17,72.77728145122626,45.13163541730516
2024-09-18,70.97422367400219,44.606862077525356
2024-09-19,75.29073771300301,48.94259979360789
2024-09-20,74.45864788302212,48.55678711366098
2024-09-23,74.83536708286937,48.60210198309893
2024-09-24,75.21581301532687,50.09253660235322
2024-09-25,74.18253051326083,51.03361558886075
2024-09-26,73.99840039574288,51.25949755652734
2024-09-27,72.64930324046965,49.99126415473734
2024-09-30,73.87055077205615,50.87032595350636
2024-10-01,70.7462756795505,48.486598959447825
2024-10-02,70.79236488943914,48.662920446096614
2024-10-03,69.08582119914124,50.09011900068554
2024-10-04,71.60362639336346,52.173327872744046
2024-10-07,69.74749294196201,50.7204210001722
2024-10-08,73.2381200838864,53.88518573742147
2024-10-09,73.05035370888493,54.11885517340467
2024-10-10,73.27318920096005,54.61680092190997
2024-10-11,73.72636808663728,55.17767970372513
2024-10-14,76.13159415933562,56.86312991971163
2024-10-15,73.59372995268242,54.712494283876254
2024-10-16,73.90630642767067,55.25059798191516
2024-10-17,74.53401370893668,55.53805493924104
2024-10-18,75.67381377526475,56.429614322913245
2024-10-21,78.33247489563621,58.59140502763162
2024-10-22,78.82288603694711,59.41853440716234
2024-10-23,73.98104340706162,55.70826342248212
2024-10-24,74.7098446605006,56.36701238343682
2024-10-25,75.95429799341069,57.72191179251573
2024-10-28,74.99974361610293,57.95237544023302
2024-10-29,76.55487429704823,59.83059637043318
2024-10-30,75.48374557357404,59.590105739502874
2024-10-31,66.01739609204922,53.47618802520313
2024-11-01,68.4843812673446,55.58432455183579
2024-11-04,67.47179896782312,54.842165578675626
