,baseline
2024-01-02,100000.0
2024-01-03,99644.37758566934
2024-01-04,98515.42285417963
2024-01-05,98699.32733170709
2024-01-08,100898.07701645093
2024-01-09,101449.33823567371
2024-01-10,103199.3286650945
2024-01-11,103353.26181761174
2024-01-12,103882.0800705683
2024-01-16,103108.49954779641
2024-01-17,102674.49841555161
2024-01-18,104530.70727029878
2024-01-19,106193.21047234436
2024-01-22,106100.14641858274
2024-01-23,106882.93073545586
2024-01-24,107678.36719473642
2024-01-25,108486.86216342107
2024-01-26,108531.42640735717
2024-01-29,109643.94185833834
2024-01-30,108531.80564597578
2024-01-31,104821.72515107872
2024-02-01,106386.77484542299
2024-02-02,113159.75499711305
2024-02-05,112144.79275269287
2024-02-06,111945.8803033464
2024-02-07,113670.69101614493
2024-02-08,113541.68889692797
2024-02-09,114925.00833615914
2024-02-12,114007.73069101913
2024-02-13,111951.40672998314
2024-02-14,113254.7968414117
2024-02-15,113069.82270368465
2024-02-16,111784.62838572192
2024-02-20,111307.1339163846
2024-02-21,111578.60842836178
2024-02-22,114379.80983815149
2024-02-23,114023.93155447226
2024-02-26,112633.9215770978
2024-02-27,113127.1400580795
2024-02-28,112421.83263665145
2024-02-29,113803.95513240836
2024-03-01,114494.18126951667
2024-03-04,113099.34879632795
2024-03-05,110878.46758232293
2024-03-06,110814.52226069888
2024-03-07,112986.20295853447
2024-03-08,112607.28968304786
2024-03-11,111315.48696089907
2024-03-12,113460.59324086896
2024-03-13,113324.79498195786
2024-03-14,114628.94810920094
2024-03-15,112810.082681662
2024-03-18,114670.91920996866
2024-03-19,115199.01464338199
2024-03-20,116768.98412760778
2024-03-21,116169.6793750366
2024-03-22,116893.93314924213
2024-03-25,116053.45260743608
2024-03-26,115351.63493177871
2024-03-27,115843.76661350051
2024-03-28,115211.33154092115
2024-04-01,116335.2794248398
2024-04-02,116213.89927785531
2024-04-03,117071.08326834228
2024-04-04,116127.44398476448
2024-04-05,118533.00855333277
2024-04-08,118249.29917950538
2024-04-09,118653.67901539143
2024-04-10,118426.81097905924
2024-04-11,120541.65160997753
2024-04-12,119095.0513657447
2024-04-15,116807.43449077876
2024-04-16,116367.38438619171
2024-04-17,115630.04826797603
2024-04-18,115362.0254153297
2024-04-19,112774.98617830698
2024-04-22,113666.99518446487
2024-04-23,115564.02596390889
2024-04-24,115455.30532017667
2024-04-25,111151.82373885068
2024-04-26,114694.37234704563
2024-04-29,113649.8499253348
2024-04-30,111185.38484307256
2024-05-01,112588.7810238811
2024-05-02,114454.31456405603
2024-05-03,116930.1628078719
2024-05-06,118371.60036892851
2024-05-07,118831.09766613683
2024-05-08,118812.6248693181
2024-05-09,119553.28872155701
2024-05-10,119133.05036457909
2024-05-13,118902.86513533437
2024-05-14,119642.93484995118
2024-05-15,121013.35201086836
2024-05-16,120359.66015378856
2024-05-17,120659.22943128251
