,baseline
2024-01-02,99999.99999999997
2024-01-03,99496.38728939199
2024-01-04,98704.03047735916
2024-01-05,99237.55049883857
2024-01-08,102161.8531965968
2024-01-09,102928.14946534233
2024-01-10,104805.14835472152
2024-01-11,105096.74326023366
2024-01-12,105498.67188519237
2024-01-16,105432.55214766128
2024-01-17,104957.0468582235
2024-01-18,106868.58335748063
2024-01-19,109078.89335298476
2024-01-22,109057.73979769234
2024-01-23,109785.83651084811
2024-01-24,110963.91087852349
2024-01-25,111725.88953744646
2024-01-26,111560.26385410748
2024-01-29,112983.54009979726
2024-01-30,112163.6773784006
2024-01-31,108640.46768735055
2024-02-01,110463.6925405929
2024-02-02,117191.8957035954
2024-02-05,117443.64130597957
2024-02-06,116894.15452948688
2024-02-07,118980.61376961312
2024-02-08,118714.63888174767
2024-02-09,120729.66494934593
2024-02-12,120005.0581977836
2024-02-13,118249.93355495053
2024-02-14,119949.2237975613
2024-02-15,119365.33279340158
2024-02-16,118278.76702519401
2024-02-20,116787.11361769246
2024-02-21,116328.24023517223
2024-02-22,122491.53449530948
2024-02-23,122291.50637898984
2024-02-26,121228.3178065252
2024-02-27,121504.04283475844
2024-02-28,120557.12704219655
2024-02-29,122210.26599294561
2024-03-01,123881.27185735478
2024-03-04,123742.41254258575
2024-03-05,122144.6123724141
2024-03-06,123038.05525167931
2024-03-07,126221.17145421595
2024-03-08,124126.4841275336
2024-03-11,122443.05000405497
2024-03-12,126354.90006327111
2024-03-13,125887.05688206329
2024-03-14,125955.14683254078
2024-03-15,124402.22770996336
2024-03-18,126166.94269164652
2024-03-19,126933.32594770362
2024-03-20,128578.66442522214
2024-03-21,128447.07080029596
2024-03-22,130038.17747885613
2024-03-25,129584.49448038997
2024-03-26,128154.99381864945
2024-03-27,127765.43450156228
2024-03-28,127275.08416644945
2024-04-01,128214.1295940319
2024-04-02,127797.74861639975
2024-04-03,128343.20729419038
2024-04-04,126498.34376473023
2024-04-05,129230.6762821193
2024-04-08,128691.47793098589
2024-04-09,128412.87859045218
2024-04-10,128806.87786597785
2024-04-11,131806.98465100455
2024-04-12,129760.63814890146
2024-04-15,127098.2211389451
2024-04-16,127220.79529713326
2024-04-17,125436.77631418157
2024-04-18,125433.4972891961
2024-04-19,120346.43414096325
2024-04-22,122237.89350563155
2024-04-23,124823.96174667543
2024-04-24,123783.17029011299
2024-04-25,121219.44626135007
2024-04-26,125937.34732852153
2024-04-29,125074.52457732984
2024-04-30,122551.93670648578
2024-05-01,122558.43582443814
2024-05-02,125073.61884653711
2024-05-03,128165.21880254294
2024-05-06,130525.95419664452
