date,equity
2024-01-02,142022.76471400558
2024-01-03,138508.93940324627
2024-01-04,138722.32992816248
2024-01-05,139102.71078453914
2024-01-08,141204.3623500046
2024-01-09,139853.41444326795
2024-01-10,138919.280401585
2024-01-11,136388.988618618
2024-01-12,133901.60642446793
2024-01-16,133656.8502168083
2024-01-17,131460.5208384239
2024-01-18,131303.95516791477
2024-01-19,138132.27728039556
2024-01-22,138026.97972016013
2024-01-23,138218.3088986184
2024-01-24,139903.55438436248
2024-01-25,141136.00345166068
2024-01-26,140235.06269055323
2024-01-29,141688.81790240493
2024-01-30,141536.83386470543
2024-01-31,139032.2475674051
2024-02-01,144251.86695168697
2024-02-02,144290.1557149803
2024-02-05,145570.95067204678
2024-02-06,146329.4716537234
2024-02-07,146549.5626147704
2024-02-08,148121.2518001082
2024-02-09,148796.15699392045
2024-02-12,150201.18427551398
2024-02-13,148286.64433232835
2024-02-14,152783.68595515474
2024-02-15,156890.04643353095
2024-02-16,151807.32016399014
2024-02-20,149643.4855833698
2024-02-21,145860.3867158582
2024-02-22,155006.07630506903
2024-02-23,152602.8217283643
2024-02-26,152737.94664465173
2024-02-27,152535.9957086699
2024-02-28,152054.27618475797
2024-02-29,154496.9604810422
2024-03-01,157207.1937861188
2024-03-04,162842.50339591288
2024-03-05,160574.0161900196
2024-03-06,164608.11695164602
2024-03-07,167274.8132882628
2024-03-08,166261.83018034894
2024-03-11,164044.92186501282
2024-03-12,166987.88152299396
2024-03-13,169560.67283832649
2024-03-14,166249.7408784286
2024-03-15,164873.85910733236
2024-03-18,164818.0656607161
2024-03-19,164381.58697635852
2024-03-20,167595.54455704452
2024-03-21,171142.5045450123
2024-03-22,170015.46114448796
2024-03-25,174197.78392281654
2024-03-26,171937.5489892071
2024-03-27,172861.43242307013
2024-03-28,174251.583086483
2024-04-01,172529.1226242474
2024-04-02,170555.34712210958
2024-04-03,171490.06660390733
2024-04-04,167571.0732418895
2024-04-05,169604.37213987616
2024-04-08,168587.17327418033
2024-04-09,165450.33439497708
2024-04-10,166341.28612297156
2024-04-11,168489.93535150294
2024-04-12,164205.0329555444
2024-04-15,160205.48166097022
2024-04-16,163174.16034401744
2024-04-17,162149.99752179996
2024-04-18,159113.52290145162
2024-04-19,151782.45459278286
2024-04-22,153800.114782816
2024-04-23,155255.3883882402
2024-04-24,155742.69688763414
2024-04-25,156608.30788801218
2024-04-26,156072.9474134836
2024-04-29,156139.28927657477
2024-04-30,152653.37172218814
2024-05-01,151867.64682215455
2024-05-02,155560.8238231857
2024-05-03,156855.26579932056
2024-05-06,159194.32119559095
2024-05-07,158007.23340974477
2024-05-08,159120.83011385563
2024-05-09,161168.47825000415
2024-05-10,160884.38581621068
2024-05-13,159945.94959296397
2024-05-14,161249.01893815602
2024-05-15,166036.423499464
2024-05-16,164319.04411887497
2024-05-17,165882.27869162773
2024-05-20,166273.8559004755
2024-05-21,167453.05670055098
2024-05-22,166904.80637077865
2024-05-23,166090.3953438867
2024-05-24,170217.10153773628
