date,equity
2024-01-02,130105.3707072528
2024-01-03,129077.0392418741
2024-01-04,128865.08774671674
2024-01-05,129264.18910278645
2024-01-08,131620.52854709863
2024-01-09,130890.48051299331
2024-01-10,130965.13565789934
2024-01-11,130772.24705875626
2024-01-12,130985.40825899322
2024-01-16,130711.61495028838
2024-01-17,129528.86743985741
2024-01-18,129845.04001634386
2024-01-19,131769.99443312053
2024-01-22,132543.86569124283
2024-01-23,133384.4136771864
2024-01-24,134310.02278803827
2024-01-25,135307.41060732157
2024-01-26,135511.08807692485
2024-01-29,136671.13033441023
2024-01-30,136541.57804708366
2024-01-31,134250.9588007911
2024-02-01,137776.36317742107
2024-02-02,141125.95140723564
2024-02-05,142858.01449055888
2024-02-06,142975.10737772574
2024-02-07,145191.29396647992
2024-02-08,146131.62069041503
2024-02-09,148376.98905527877
2024-02-12,148535.28767667164
2024-02-13,147503.9300075864
2024-02-14,152745.21585552325
2024-02-15,154946.63100232036
2024-02-16,152971.6426422369
2024-02-20,150251.86291207504
2024-02-21,144157.7150532362
2024-02-22,152344.45004278494
2024-02-23,150987.10003055976
2024-02-26,153946.1006206953
2024-02-27,154198.59133182545
2024-02-28,153698.74508029726
2024-02-29,155994.96542482448
2024-03-01,159760.28608827534
2024-03-04,164601.0720555298
2024-03-05,161896.13885480346
2024-03-06,164640.34506676916
2024-03-07,168080.47206379514
2024-03-08,165470.5819777238
2024-03-11,162229.16672595835
2024-03-12,166005.38449340506
2024-03-13,165517.33133254218
2024-03-14,162871.18574630131
2024-03-15,161400.89413169588
2024-03-18,161518.93272216083
2024-03-19,161478.38150563804
2024-03-20,165256.34877575323
2024-03-21,168232.98623944342
2024-03-22,167807.4661558336
2024-03-25,170750.77241732398
2024-03-26,168375.7952506823
2024-03-27,168490.3392910914
2024-03-28,169178.39289967244
2024-04-01,168814.83346747883
2024-04-02,166653.37597119244
2024-04-03,167995.85407314592
2024-04-04,163697.88381226538
2024-04-05,166490.36153885713
2024-04-08,164836.73115778496
2024-04-09,162294.4769254785
2024-04-10,161522.68587599383
2024-04-11,163526.8784892895
2024-04-12,159502.19600047157
2024-04-15,156992.51817854817
2024-04-16,158499.89973487254
2024-04-17,157217.48551175348
2024-04-18,154771.94801477448
2024-04-19,148820.14177867543
2024-04-22,150745.25728120047
2024-04-23,153581.4243467078
2024-04-24,153551.98836385718
2024-04-25,154964.2687506231
2024-04-26,154722.72793470597
2024-04-29,157005.9154048779
2024-04-30,154928.7671454344
2024-05-01,153505.7029260729
2024-05-02,155669.23530491322
2024-05-03,158010.63177648606
2024-05-06,160139.45116948747
2024-05-07,159181.7435713475
2024-05-08,161083.27285847682
2024-05-09,163584.05826001253
2024-05-10,163536.85561977746
2024-05-13,162923.8052426272
2024-05-14,163224.63174091934
2024-05-15,167000.89065674154
2024-05-16,166297.18034123757
2024-05-17,166562.55969574038
2024-05-20,166578.29868792472
2024-05-21,168624.15251401134
2024-05-22,168685.6114578432
2024-05-23,168808.65344369152
2024-05-24,172290.65117338375
2024-05-28,171373.01582731758
2024-05-29,169667.6065723341
2024-05-30,169006.45387309155
2024-05-31,165478.47427341866
2024-06-03,165271.8646848589
2024-06-04,164192.98442262743
2024-06-05,167746.1334353674
2024-06-06,166076.37659811106
2024-06-07,165103.52476579332
2024-06-10,166491.05980778625
2024-06-11,166812.75063555874
2024-06-12,168377.61094947357
2024-06-13,168012.89182974253
2024-06-14,166088.98896448355
2024-06-17,167128.09562805292
2024-06-18,169123.25883942755
2024-06-20,166193.27973956073
2024-06-21,165037.97328089492
2024-06-24,163606.6391968079
2024-06-25,163307.53125101147
2024-06-26,161897.61221961884
2024-06-27,161486.42463342953
2024-06-28,161060.83428410618
2024-07-01,161677.68462907258
2024-07-02,162317.07155088213
2024-07-03,163209.31286745126
2024-07-05,163056.58360749646
2024-07-08,164220.34125311818
2024-07-09,163895.62450510784
2024-07-10,166190.8517677964
2024-07-11,164735.06025125095
2024-07-12,165780.03075489073
2024-07-15,166894.3180216047
2024-07-16,168053.89129596803
2024-07-17,163812.53641892344
2024-07-18,163382.2478679341
2024-07-19,162539.0180286631
2024-07-22,164143.4810031585
2024-07-23,164362.86288786377
2024-07-24,158659.11750554442
2024-07-25,156330.47465225097
2024-07-26,160579.31557471483
2024-07-29,160879.96934671767
2024-07-30,160466.49837481973
2024-07-31,162059.14500529776
2024-08-01,160030.10437883175
2024-08-02,153969.77725663205
2024-08-05,149882.57791848874
2024-08-06,151541.78234433738
2024-08-07,148984.7164337685
2024-08-08,152801.5541420679
2024-08-09,153111.675693058
2024-08-12,153281.70930302225
2024-08-13,153941.2859639357
2024-08-14,153757.06134247236
2024-08-15,155199.47409731237
2024-08-16,155527.9053600693
2024-08-19,158010.15425642522
2024-08-20,156665.72390314963
2024-08-21,159327.80024023296
2024-08-22,159139.81080787844
2024-08-23,163006.37191721212
2024-08-26,161971.5408693276
2024-08-27,161740.04940886382
2024-08-28,160857.0864785857
2024-08-29,161709.85129918557
2024-08-30,163007.98472428293
2024-09-03,158578.9149011562
2024-09-04,158394.62604864902
2024-09-05,157029.8200007278
2024-09-06,156370.55073395278
2024-09-09,159502.1893483513
2024-09-10,160826.1875871168
2024-09-11,160028.5990249763
2024-09-12,162443.74352710095
2024-09-13,166169.33746322163
2024-09-16,166917.9950177539
2024-09-17,167192.23579808886
2024-09-18,167339.05578155638
2024-09-19,169861.6436791795
2024-09-20,168057.2071017207
2024-09-23,170129.49879303074
2024-09-24,171332.59455658574
2024-09-25,169700.51855797088
2024-09-26,169537.32486752683
2024-09-27,170544.1474302167
2024-09-30,171578.5494649301
2024-10-01,170867.0852866288
2024-10-02,170702.43397139548
2024-10-03,171612.2356244828
2024-10-04,171312.5485923398
2024-10-07,170241.70314148357
2024-10-08,171555.77527555596
2024-10-09,172856.51581565355
2024-10-10,171743.100982674
2024-10-11,173348.32871343847
2024-10-14,176293.0170185331
2024-10-15,175994.80080049485
2024-10-16,178154.54642789977
2024-10-17,175791.70828273564
2024-10-18,177062.0478560392
2024-10-21,175871.71500266297
2024-10-22,173930.10236259212
2024-10-23,172408.902267571
2024-10-24,173162.0299254768
2024-10-25,170843.13696331115
2024-10-28,171248.4957925267
2024-10-29,171697.7242192439
2024-10-30,172416.52704224878
2024-10-31,171146.0235372556
2024-11-01,171268.42933005362
2024-11-04,169961.60651936417
2024-11-05,173442.4898249886
2024-11-06,179001.74517590072
2024-11-07,179812.50862954571
2024-11-08,186159.65567069183
2024-11-11,192683.65135633684
2024-11-12,190040.96424849855
2024-11-13,188307.70277213753
2024-11-14,185740.44550530956
2024-11-15,188298.93083046554
2024-11-18,189317.01912787987
2024-11-19,193485.49484469657
2024-11-20,192964.03644902867
2024-11-21,193752.0167733846
2024-11-22,197964.02977757005
2024-11-25,195273.0180229928
2024-11-26,195887.31127712384
2024-11-27,196042.412724446
2024-11-29,196681.5414768423
2024-12-02,196846.80286078213
2024-12-03,198343.00821793807
2024-12-04,200916.91319574008
2024-12-05,202445.17520250796
2024-12-06,204762.97745309857
2024-12-09,196074.57929555766
2024-12-10,195463.40634093108
2024-12-11,199684.4314988656
2024-12-12,197785.5189354896
2024-12-13,199469.0215200729
2024-12-16,201408.04833311474
2024-12-17,200243.62207204575
2024-12-18,191306.95394354843
2024-12-19,192751.31150633848
2024-12-20,196436.51345690642
2024-12-23,198030.85793052128
2024-12-24,202261.39384978623
2024-12-26,202067.88964550692
2024-12-27,198742.86873953155
2024-12-30,195857.57668809284
2024-12-31,193714.82754740975
2025-01-02,192289.5191442381
2025-01-03,195674.77030103758
2025-01-06,197736.21611104003
2025-01-07,194950.69373078347
2025-01-08,195743.57235203084
2025-01-10,194282.11970608556
2025-01-13,193068.21579663298
2025-01-14,195713.34119332244
2025-01-15,196456.5788826771
2025-01-16,198532.13884648317
2025-01-17,200041.53530926828
2025-01-21,205083.83094103943
2025-01-22,207328.18492280997
2025-01-23,208855.44613797727
2025-01-24,208557.74051532807
2025-01-27,196965.70897504114
2025-01-28,200505.18965866137
2025-01-29,201225.63894939137
2025-01-30,203488.26249647682
2025-01-31,199349.74178901012
