,baseline
2024-01-02,99400.0
2024-01-03,98108.97079369446
2024-01-04,97964.43947551538
2024-01-05,98171.62498737765
2024-01-08,99314.32691979612
2024-01-09,98892.06165717896
2024-01-10,99110.4622888575
2024-01-11,98857.85184830223
2024-01-12,98739.52793961224
2024-01-16,98131.2978509535
2024-01-17,97389.52206071597
2024-01-18,97979.40680861531
2024-01-19,98902.11126088342
2024-01-22,99408.17280971634
2024-01-23,99495.29043754285
2024-01-24,98979.65977699813
2024-01-25,99875.20449290905
2024-01-26,99869.40444786873
2024-01-29,100499.17845019995
2024-01-30,100585.14024878759
2024-01-31,99277.88421632745
2024-02-01,100452.32229334128
2024-02-02,100519.57215008097
2024-02-05,99712.47294761149
2024-02-06,100362.49445577207
2024-02-07,100845.25929941943
2024-02-08,101156.81236865287
2024-02-09,101443.68102595431
2024-02-12,102019.52102266898
2024-02-13,100400.28396481708
2024-02-14,101464.06329928333
2024-02-15,102709.22777659036
2024-02-16,102114.56761970666
2024-02-20,101736.64476726795
2024-02-21,101895.33879235366
2024-02-22,103298.88982862284
2024-02-23,103455.4500238458
2024-02-26,103143.4771153692
2024-02-27,103572.73526114535
2024-02-28,103580.80648786746
2024-02-29,104219.57069229416
2024-03-01,104914.58312935798
2024-03-04,105268.65378103932
2024-03-05,104631.14139660043
2024-03-06,105401.80864209484
2024-03-07,106278.7231594196
2024-03-08,106033.90311207563
2024-03-11,106091.36921265247
2024-03-12,106551.15161584772
2024-03-13,106599.49465545574
2024-03-14,105658.96586229332
2024-03-15,105380.34557728039
2024-03-18,105640.18848967878
2024-03-19,106218.38292953027
2024-03-20,107149.0691994357
2024-03-21,108005.86883982526
2024-03-22,107371.6698622688
2024-03-25,107211.38988697526
2024-03-26,107031.15266366741
2024-03-27,108548.79140422137
2024-03-28,108967.42360632333
2024-04-01,108381.14517880615
2024-04-02,107444.70640657857
2024-04-03,107680.3299716172
2024-04-04,106461.4507435412
2024-04-05,107287.28251728698
2024-04-08,107512.4866293461
2024-04-09,107782.62673895429
2024-04-10,106093.56746593633
2024-04-11,106113.19069185523
2024-04-12,104438.52719820978
2024-04-15,103428.51750164398
2024-04-16,102998.49466109189
2024-04-17,102649.93779042666
2024-04-18,102473.14696786615
2024-04-19,102516.44942016232
2024-04-22,103368.57171883414
2024-04-23,104355.57075450574
2024-04-24,104517.70345721493
2024-04-25,104278.60961480348
2024-04-26,104533.99637849137
2024-04-29,105231.32986842692
2024-04-30,103615.83274070558
2024-05-01,103091.0378883061
2024-05-02,103821.50017860607
2024-05-03,104595.1594318126
2024-05-06,105550.74342997913
2024-05-07,105760.33800349786
2024-05-08,105774.60978424421
2024-05-09,106659.89714289214
2024-05-10,106842.21667189008
2024-05-13,106709.33270076319
2024-05-14,107211.27952173575
2024-05-15,108324.83965127854
2024-05-16,108033.48927200983
2024-05-17,108245.79169575349
2024-05-20,108263.8814133938
2024-05-21,108170.84804471376
2024-05-22,107783.29412570388
2024-05-23,106361.91963128072
2024-05-24,107262.73631393866
2024-05-28,106558.1518637088
2024-05-29,105379.90387839075
2024-05-30,105780.16060388953
2024-05-31,106907.73175294613
2024-06-03,106322.25261699443
2024-06-04,106049.39929589891
2024-06-05,106901.54454803519
2024-06-06,106605.16643677995
2024-06-07,106237.68605284367
2024-06-10,106729.90272242505
2024-06-11,106408.12865718195
2024-06-12,107066.3194121417
2024-06-13,106871.75003118016
2024-06-14,106158.31877744244
2024-06-17,106943.11477853435
2024-06-18,107318.95413099336
2024-06-20,107298.1810067783
2024-06-21,107351.56298874471
2024-06-24,107714.13856954503
2024-06-25,107115.47316825483
2024-06-26,106663.62133063341
2024-06-27,106848.13215451229
2024-06-28,106818.73572412903
2024-07-01,106128.4024514398
2024-07-02,106601.02784634098
2024-07-03,106757.1542019954
2024-07-05,106680.5369372236
2024-07-08,106969.45099624383
2024-07-09,106790.1935568748
2024-07-10,107734.52793229754
2024-07-11,108716.8074544807
2024-07-12,109590.63208149535
2024-07-15,109722.98262493647
2024-07-16,111460.48197331882
2024-07-17,110648.86215252521
2024-07-18,109724.35511730953
2024-07-19,109008.45509091431
2024-07-22,110022.33068229529
2024-07-23,109703.29724121424
2024-07-24,108114.60136636085
2024-07-25,108187.39630032072
2024-07-26,109813.08403603124
2024-07-29,109951.10076085902
2024-07-30,110257.51193121192
2024-07-31,111023.4916464593
2024-08-01,109659.27857433227
2024-08-02,107639.71841931826
2024-08-05,105055.75876325046
2024-08-06,106293.10292730897
2024-08-07,105396.46161830543
2024-08-08,107594.69955098775
2024-08-09,107856.08275961055
2024-08-12,107474.78761201014
2024-08-13,108769.32624841889
2024-08-14,109039.93080694113
2024-08-15,110550.53522265302
2024-08-16,110790.65436832627
2024-08-19,111671.66782615743
2024-08-20,111181.49333113237
2024-08-21,112113.32194989733
2024-08-22,111689.40875189446
2024-08-23,113141.54140357979
2024-08-26,112985.55360864503
2024-08-27,113043.27722720706
2024-08-28,112635.8845324431
2024-08-29,113057.58461753838
2024-08-30,114035.60989303284
2024-09-03,112221.38085959789
2024-09-04,112105.57833869857
2024-09-05,111370.06663276485
2024-09-06,110018.22816869161
2024-09-09,111210.46929539184
2024-09-10,111317.69046771221
2024-09-11,111611.9780944473
2024-09-12,112296.26812684989
2024-09-13,113397.23591156094
2024-09-16,114136.51812378116
2024-09-17,114299.40787163949
2024-09-18,114092.42468836371
2024-09-19,115394.91529063531
2024-09-20,115138.92450078859
2024-09-23,115766.77053897438
2024-09-24,115964.83003485561
2024-09-25,115322.41113295141
2024-09-26,116143.32011872286
2024-09-27,116490.44458269709
2024-09-30,116746.18480312706
2024-10-01,116135.32380398294
2024-10-02,116138.1457628131
2024-10-03,115714.91662709738
2024-10-04,116612.10953144607
2024-10-07,115622.50840992687
2024-10-08,116088.69170002917
2024-10-09,116885.68928753943
2024-10-10,116406.42380677027
2024-10-11,117619.5127246464
2024-10-14,118462.12196043946
2024-10-15,117956.39780677766
2024-10-16,118696.31258770153
2024-10-17,118497.11359039585
2024-10-18,118907.61693191167
2024-10-21,117960.01255130296
2024-10-22,117407.5308210662
2024-10-23,116973.3792802178
2024-10-24,116946.51165859948
2024-10-25,116495.48058034525
2024-10-28,117106.4187249458
2024-10-29,116866.74147329347
2024-10-30,116621.49264995108
2024-10-31,115269.96028465402
2024-11-01,115249.99786976849
2024-11-04,115426.98163675005
2024-11-05,116972.51529682815
2024-11-06,119769.6111785235
2024-11-07,120073.29454300355
2024-11-08,120931.33613094111
2024-11-11,121584.90050603397
2024-11-12,120758.59455836783
2024-11-13,120735.88866218306
2024-11-14,119836.2082478124
2024-11-15,119032.93315145571
2024-11-18,119591.06120159845
2024-11-19,119513.67542469138
2024-11-20,119918.56612137407
2024-11-21,121490.24506550413
2024-11-22,122516.04140896616
2024-11-25,123486.10523552363
2024-11-26,123622.63353997495
2024-11-27,123383.57366745977
2024-11-29,123777.36575208648
2024-12-02,123417.92240380909
2024-12-03,123056.68463526895
2024-12-04,123188.6817825996
2024-12-05,122650.35596551767
2024-12-06,122601.52985966536
2024-12-09,121771.01876606584
2024-12-10,120949.74886256477
2024-12-11,121198.97719409465
2024-12-12,120811.748475557
2024-12-13,120449.82991278179
